time,deltaT,Co,alphaCo
0.0011764706,0.001386554622,0.04039563776,0.0
0.0025630252,0.001627694556,0.03932242599,0.0
0.0041907198,0.00188469896,0.04487480052,0.01856271444
0.0060754187,0.002261638752,0.04703732475,0.02901824998
0.0083370575,0.002638578544,0.06311667695,0.03961869759
0.010975636,0.002902436398,0.08285345982,0.06100207456
0.013878072,0.003265240948,0.1008218058,0.07304116058
0.017143313,0.003809447772,0.1238831025,0.08904855275
0.020952761,0.003809447772,0.1565640182,0.1123770498
0.024762209,0.003809447772,0.1664559203,0.1201220433
0.028571657,0.003809447772,0.1739050083,0.1360286584
0.032381104,0.003809447772,0.1851149269,0.1460890332
0.036190552,0.003809447772,0.2023022185,0.155169912
0.04,0.004,0.2190323227,0.1633527788
0.044,0.004,0.2399428721,0.1766264077
0.048,0.004,0.247812241,0.1811678358
0.052,0.0035,0.2529575276,0.1852414227
0.0555,0.0035,0.2262306274,0.1648807169
0.059,0.0035,0.2305592609,0.167450029
0.0625,0.0035,0.2358650377,0.1698081716
0.066,0.0035,0.2436315247,0.171971295
0.0695,0.002625,0.2518061307,0.173955377
0.072125,0.002625,0.1933836948,0.1314387223
0.07475,0.002625,0.1977604937,0.1323703419
0.077375,0.002625,0.2018113893,0.133222593
0.08,0.003076923077,0.2055109056,0.1339934167
0.083076923,0.003076923077,0.2439303596,0.1484220948
0.086153846,0.003076923077,0.2465825253,0.1533343445
0.089230769,0.003076923077,0.2488952014,0.1575659046
0.092307692,0.002769230769,0.2509673838,0.1611537809
0.095076923,0.002769230769,0.2274374236,0.1473933706
0.097846154,0.002769230769,0.2288561199,0.1493746428
0.10061538,0.002769230769,0.2300697107,0.1508957891
0.10338462,0.002769230769,0.2310953734,0.1520770438
0.10615385,0.002769230769,0.2318005781,0.1536393004
0.10892308,0.002769230769,0.2330376658,0.1555880643
0.11169231,0.002769230769,0.2354829822,0.1571684354
0.11446154,0.002769230769,0.2382646018,0.1586288125
0.11723077,0.002769230769,0.239443298,0.1600312455
